385#45156元/平米#三林世博家园(东书房路390弄)#浦东 三林 内环至中环##房屋户型2室1厅1厨1卫#建筑面积85.26㎡#房屋朝向南#装修情况精装#配备电梯有
412#50244元/平米#罗秀苑#闵行 梅陇 中环至外环##房屋户型2室2厅1厨1卫#建筑面积82㎡#房屋朝向南#装修情况精装#配备电梯无
754.9#71999元/平米#颐德名苑#长宁 新华路 内环内#近3号线延安西路站#房屋户型2室1厅1厨1卫#建筑面积104.85㎡#房屋朝向南#装修情况精装#配备电梯有
540#54163元/平米#中环一号(一期)#宝山 大华 中环至外环##房屋户型3室2厅1厨1卫#建筑面积99.7㎡#房屋朝向南#装修情况精装#配备电梯有
247#31880元/平米#欣佳宝邸#闵行 浦江 外环外#近浦江线浦航路站#房屋户型2室1厅0厨1卫#建筑面积77.48㎡#房屋朝向南 北#装修情况毛坯#配备电梯有
666#67946元/平米#阳城贵都#静安 阳城 内环至中环#近7号线行知路站#房屋户型2室2厅1厨1卫#建筑面积98.02㎡#房屋朝向南 北#装修情况简装#配备电梯有
260#44529元/平米#南新四村#浦东 北蔡 内环至中环#近13号线下南路站#房屋户型2室1厅1厨1卫#建筑面积58.39㎡#房屋朝向南 北#装修情况简装#配备电梯无
178#56170元/平米#商业一村#虹口 鲁迅公园 内环至中环#近3号线虹口足球场站#房屋户型1室1厅1厨1卫#建筑面积31.69㎡#房屋朝向南#装修情况精装#配备电梯无
900#35331元/平米#金泉苑(闵行)#闵行 金虹桥 中环至外环#近10号线(新江湾城-航中路)龙溪路站#房屋户型4室2厅1厨2卫#建筑面积254.74㎡#房屋朝向南#装修情况精装#配备电梯无
1080#112912元/平米#尚汇豪庭#徐汇 田林 内环至中环#近3号线漕溪路站#房屋户型2室1厅1厨1卫#建筑面积95.65㎡#房屋朝向南#装修情况精装#配备电梯有
425#63949元/平米#赤峰小区#虹口 曲阳 内环内#近8号线曲阳路站#房屋户型2室1厅1厨1卫#建筑面积66.46㎡#房屋朝向南#装修情况简装#配备电梯有
182#55320元/平米#法华镇路878弄#长宁 新华路 内环内#近3号线延安西路站#房屋户型1室1厅1厨1卫#建筑面积32.9㎡#房屋朝向西北#装修情况精装#配备电梯无
718#50764元/平米#阳明国际花苑#闵行 莘庄 外环外##房屋户型4室2厅1厨2卫#建筑面积141.44㎡#房屋朝向南#装修情况简装#配备电梯有
415#39954元/平米#菊泉新城(菊盛路50弄)#宝山 顾村 外环外#近7号线顾村公园站#房屋户型3室2厅1厨1卫#建筑面积103.87㎡#房屋朝向南#装修情况精装#配备电梯有
330#67623元/平米#定西路1235弄#长宁 中山公园 内环内#近2号线中山公园站#房屋户型2室1厅1厨1卫#建筑面积48.8㎡#房屋朝向南#装修情况精装#配备电梯无
618#62985元/平米#新梅莘苑#闵行 莘庄 外环外#近5号线春申路站#房屋户型2室2厅1厨1卫#建筑面积98.12㎡#房屋朝向南#装修情况精装#配备电梯有
239#34845元/平米#崧泽华城秀景苑#青浦 赵巷 外环外##房屋户型2室2厅1厨1卫#建筑面积68.59㎡#房屋朝向南#装修情况精装#配备电梯有
485#135438元/平米#梅园二街坊#浦东 源深 内环内#近4号线浦东大道站#房屋户型1室0厅1厨1卫#建筑面积35.81㎡#房屋朝向南#装修情况毛坯#配备电梯无
455#56424元/平米#和源名城#静安 彭浦 中环至外环##房屋户型2室2厅1厨1卫#建筑面积80.64㎡#房屋朝向南#装修情况精装#配备电梯有
315#35165元/平米#金地自在城(二期)#松江 泗泾 外环外##房屋户型2室2厅1厨1卫#建筑面积89.58㎡#房屋朝向南#装修情况精装#配备电梯有
388#59776元/平米#柳博小区(柳一小区)#浦东 金桥 中环至外环#近6号线博兴路站#房屋户型2室1厅1厨1卫#建筑面积64.91㎡#房屋朝向南#装修情况精装#配备电梯无
155#30687元/平米#庆华新村#青浦 夏阳 外环外#近17号线青浦新城站#房屋户型2室1厅1厨1卫#建筑面积50.51㎡#房屋朝向南#装修情况精装#配备电梯无
278#35155元/平米#达城家园#浦东 康桥 外环外##房屋户型2室2厅1厨1卫#建筑面积79.08㎡#房屋朝向南 北#装修情况精装#配备电梯有
810#59025元/平米#光鸿苑#浦东 南码头 内环至中环#近6号线上海儿童医学中心站#房屋户型3室2厅1厨2卫#建筑面积137.23㎡#房屋朝向南#装修情况精装#配备电梯有
1140#84102元/平米#世博花园#虹口 鲁迅公园 内环内#近10号线(新江湾城-虹桥火车站)邮电新村站#房屋户型3室2厅1厨2卫#建筑面积135.55㎡#房屋朝向南#装修情况精装#配备电梯有
369#40724元/平米#金丰新村#嘉定 丰庄 中环至外环#近13号线丰庄站#房屋户型3室1厅1厨1卫#建筑面积90.61㎡#房屋朝向南#装修情况简装#配备电梯无
210#56803元/平米#虹旭小区#长宁 虹桥 内环至中环#近10号线(新江湾城-虹桥火车站)水城路站#房屋户型1室1厅1厨1卫#建筑面积36.97㎡#房屋朝向南#装修情况毛坯#配备电梯无
990#80000元/平米#中山公寓#长宁 中山公园 内环内#近2号线中山公园站#房屋户型3室2厅1厨2卫#建筑面积123.75㎡#房屋朝向南#装修情况精装#配备电梯有
305#41167元/平米#高行绿洲(五期)#浦东 高东 中环至外环#近6号线外高桥保税区南站#房屋户型2室1厅1厨1卫#建筑面积74.09㎡#房屋朝向南#装修情况毛坯#配备电梯有
295#59464元/平米#新顺小区#长宁 新华路 内环内#近3号线虹桥路站#房屋户型2室1厅1厨1卫#建筑面积49.61㎡#房屋朝向南#装修情况精装#配备电梯无
306#65694元/平米#潍坊二村#浦东 潍坊 内环内#近4号线浦电路站#房屋户型2室0厅0厨1卫#建筑面积46.58㎡#房屋朝向南#装修情况精装#配备电梯无
139#29394元/平米#桃园小区(嘉定)#嘉定 嘉定老城 外环外##房屋户型1室1厅1厨1卫#建筑面积47.29㎡#房屋朝向南#装修情况精装#配备电梯无
400#39813元/平米#城中花园#浦东 康桥 外环外##房屋户型2室2厅1厨1卫#建筑面积100.47㎡#房屋朝向南#装修情况精装#配备电梯有
185#42854元/平米#平顺小区#静安 彭浦 中环至外环##房屋户型1室1厅1厨1卫#建筑面积43.17㎡#房屋朝向南#装修情况精装#配备电梯无
420#79231元/平米#大木小区#徐汇 斜土路 内环内#近9号线嘉善路站#房屋户型2室1厅1厨1卫#建筑面积53.01㎡#房屋朝向南 北#装修情况简装#配备电梯无
385#43890元/平米#季景铭郡#嘉定 南翔 外环外##房屋户型2室2厅1厨1卫#建筑面积87.72㎡#房屋朝向南 北#装修情况精装#配备电梯有
249.9#32367元/平米#新凯一期#松江 泗泾 ##房屋户型2室2厅1厨1卫#建筑面积77.21㎡#房屋朝向南#装修情况精装#配备电梯无
135#20552元/平米#书院一号公寓#浦东 书院镇 外环外##房屋户型1室1厅1厨1卫#建筑面积65.69㎡#房屋朝向南#装修情况简装#配备电梯有
266#82532元/平米#东安一村#徐汇 徐家汇 内环内#近4号线东安路站#房屋户型1室0厅1厨1卫#建筑面积32.23㎡#房屋朝向南#装修情况精装#配备电梯无
640#142539元/平米#岳阳大楼#徐汇 建国西路 内环内#近7号线肇嘉浜路站#房屋户型2室1厅1厨1卫#建筑面积44.9㎡#房屋朝向东北#装修情况精装#配备电梯有
228#29789元/平米#新凯一期#松江 泗泾 ##房屋户型2室1厅1厨1卫#建筑面积76.54㎡#房屋朝向南 北#装修情况简装#配备电梯有
165#20518元/平米#闸园新村#奉贤 西渡 外环外#近5号线南延伸段西渡站#房屋户型3室1厅1厨1卫#建筑面积80.42㎡#房屋朝向南#装修情况精装#配备电梯无
179#40180元/平米#市光三村#杨浦 中原 中环至外环##房屋户型1室1厅1厨1卫#建筑面积44.55㎡#房屋朝向南#装修情况简装#配备电梯无
295#39182元/平米#浦江世博家园九街坊#闵行 浦江 外环外##房屋户型2室2厅1厨1卫#建筑面积75.29㎡#房屋朝向南#装修情况简装#配备电梯无
385#37485元/平米#摩卡小城#松江 九亭 外环外##房屋户型2室2厅1厨1卫#建筑面积102.71㎡#房屋朝向南#装修情况精装#配备电梯有
500#36577元/平米#龙湖紫都城#青浦 赵巷 外环外#近17号线汇金路站#房屋户型4室2厅1厨2卫#建筑面积136.7㎡#房屋朝向南#装修情况精装#配备电梯有
350#69736元/平米#斜土路2200弄#徐汇 徐家汇 内环内#近4号线东安路站#房屋户型2室1厅1厨1卫#建筑面积50.19㎡#房屋朝向南#装修情况精装#配备电梯无
345#38887元/平米#都市雅筑#闵行 颛桥 外环外##房屋户型2室2厅1厨1卫#建筑面积88.72㎡#房屋朝向南#装修情况毛坯#配备电梯有
485#131366元/平米#梅园二街坊#浦东 源深 内环内#近4号线浦东大道站#房屋户型1室1厅1厨1卫#建筑面积36.92㎡#房屋朝向南#装修情况简装#配备电梯无
390#52098元/平米#芳雅苑#浦东 北蔡 内环至中环#近2号线龙阳路站#房屋户型2室1厅1厨1卫#建筑面积74.86㎡#房屋朝向南#装修情况简装#配备电梯无
175#50681元/平米#番禺路222弄#长宁 新华路 内环内#近10号线(新江湾城-虹桥火车站)交通大学站#房屋户型1室1厅1厨1卫#建筑面积34.53㎡#房屋朝向北#装修情况简装#配备电梯无
330#44487元/平米#古北菊翔苑(菊联路232弄)#宝山 顾村 外环外##房屋户型2室2厅1厨1卫#建筑面积74.18㎡#房屋朝向南 北#装修情况精装#配备电梯有
335#56790元/平米#恒大小区#浦东 世博 内环至中环#近6号线东明路站#房屋户型2室1厅1厨1卫#建筑面积58.99㎡#房屋朝向南 西#装修情况精装#配备电梯无
450#63578元/平米#福苑小区#徐汇 田林 内环至中环#近3号线宜山路站#房屋户型2室1厅1厨1卫#建筑面积70.78㎡#房屋朝向南#装修情况简装#配备电梯有
870#77679元/平米#实业公寓#徐汇 徐家汇 内环内##房屋户型3室2厅1厨2卫#建筑面积112㎡#房屋朝向南#装修情况简装#配备电梯有
228#57649元/平米#仙逸小区#长宁 仙霞 内环至中环#近2号线威宁路站#房屋户型1室1厅1厨1卫#建筑面积39.55㎡#房屋朝向南#装修情况精装#配备电梯无
435#63971元/平米#中环和润苑#杨浦 周家嘴路 内环至中环#近12号线爱国路站#房屋户型2室1厅1厨1卫#建筑面积68㎡#房屋朝向南 北#装修情况简装#配备电梯有
290#61156元/平米#昭化路55弄#长宁 中山公园 内环内#近2号线江苏路站#房屋户型2室1厅1厨1卫#建筑面积47.42㎡#房屋朝向南#装修情况简装#配备电梯有
800#54400元/平米#流晶逸彩#闵行 金虹桥 中环至外环##房屋户型4室2厅1厨2卫#建筑面积147.06㎡#房屋朝向南#装修情况精装#配备电梯有
636#51085元/平米#莘城公寓#闵行 莘庄 外环外#近1号线莘庄站#房屋户型3室2厅1厨2卫#建筑面积124.5㎡#房屋朝向南#装修情况简装#配备电梯无
323#43438元/平米#金鹤新城双佳翠庭#嘉定 江桥 外环外##房屋户型2室2厅1厨1卫#建筑面积74.36㎡#房屋朝向南 北#装修情况精装#配备电梯有
365#89880元/平米#巨西小区#浦东 洋泾 内环内#近6号线民生路站#房屋户型1室1厅1厨1卫#建筑面积40.61㎡#房屋朝向南 北#装修情况精装#配备电梯无
1018#104069元/平米#汇龙新城#黄浦 五里桥 内环内#近9号线马当路站#房屋户型2室1厅1厨1卫#建筑面积97.82㎡#房屋朝向南#装修情况精装#配备电梯有
155#44554元/平米#银都一村#静安 彭浦 中环至外环##房屋户型1室1厅1厨1卫#建筑面积34.79㎡#房屋朝向南 北#装修情况精装#配备电梯无
268#52191元/平米#南泉苑#普陀 甘泉宜川 内环至中环#近7号线新村路站#房屋户型2室1厅1厨1卫#建筑面积51.35㎡#房屋朝向南#装修情况毛坯#配备电梯无
690#81445元/平米#荣承公寓#徐汇 徐家汇 内环内#近4号线东安路站#房屋户型2室2厅1厨1卫#建筑面积84.72㎡#房屋朝向南#装修情况简装#配备电梯有
190#79266元/平米#鞍山三村#杨浦 鞍山 内环内#近8号线鞍山新村站#房屋户型1室0厅1厨1卫#建筑面积23.97㎡#房屋朝向东北#装修情况简装#配备电梯无
620#54154元/平米#欣晟家园#浦东 塘桥 内环内#近6号线上海儿童医学中心站#房屋户型2室2厅1厨1卫#建筑面积114.49㎡#房屋朝向西南#装修情况简装#配备电梯有
316#45540元/平米#高兴花园#闵行 春申 外环外##房屋户型2室1厅1厨1卫#建筑面积69.39㎡#房屋朝向南 北#装修情况简装#配备电梯无
260#44121元/平米#康平小区#静安 彭浦 中环至外环#近1号线共康路站#房屋户型2室1厅0厨1卫#建筑面积58.93㎡#房屋朝向西北 西#装修情况精装#配备电梯有
478#171143元/平米#梅园三街坊#浦东 源深 内环内#近4号线浦东大道站#房屋户型1室0厅1厨1卫#建筑面积27.93㎡#房屋朝向南#装修情况精装#配备电梯无
1150#83820元/平米#瑞金南苑#徐汇 斜土路 内环内#近9号线打浦桥站#房屋户型3室2厅2厨2卫#建筑面积137.2㎡#房屋朝向南#装修情况简装#配备电梯有
435#53172元/平米#四季绿城#宝山 高境 中环至外环##房屋户型2室2厅1厨1卫#建筑面积81.81㎡#房屋朝向南#装修情况精装#配备电梯无
685#66171元/平米#中远两湾城#普陀 中远两湾城 内环内#近3号线中潭路站#房屋户型2室2厅1厨1卫#建筑面积103.52㎡#房屋朝向西南#装修情况精装#配备电梯有
530#63649元/平米#浣纱四村#杨浦 黄兴公园 内环至中环#近8号线黄兴公园站#房屋户型2室1厅1厨1卫#建筑面积83.27㎡#房屋朝向南#装修情况简装#配备电梯无
450#71657元/平米#田林十四村#徐汇 田林 内环至中环#近9号线桂林路站#房屋户型2室1厅1厨1卫#建筑面积62.8㎡#房屋朝向南#装修情况简装#配备电梯有
355#72523元/平米#瞿西新村#黄浦 打浦桥 内环内#近4号线鲁班路站#房屋户型2室0厅1厨1卫#建筑面积48.95㎡#房屋朝向南 北#装修情况简装#配备电梯无
538#66974元/平米#和欣国际花园#宝山 共康 中环至外环#近1号线呼兰路站#房屋户型2室2厅1厨1卫#建筑面积80.33㎡#房屋朝向南#装修情况精装#配备电梯有
870#65885元/平米#锦绣江南(四期)#闵行 金汇 中环至外环#近9号线合川路站#房屋户型3室2厅1厨2卫#建筑面积132.05㎡#房屋朝向南#装修情况精装#配备电梯有
769#73526元/平米#兆丰虹桥公寓#徐汇 田林 内环至中环#近3号线宜山路站#房屋户型2室2厅1厨2卫#建筑面积104.59㎡#房屋朝向南#装修情况精装#配备电梯无
735#55502元/平米#名江七星城#虹口 北外滩 内环内#近12号线国际客运中心站#房屋户型2室2厅1厨2卫#建筑面积132.43㎡#房屋朝向南 北#装修情况精装#配备电梯有
790#76314元/平米#和泰玫瑰园#虹口 北外滩 内环内#近12号线国际客运中心站#房屋户型2室2厅1厨1卫#建筑面积103.52㎡#房屋朝向南#装修情况精装#配备电梯有
362#83391元/平米#建工天峰公寓#虹口 曲阳 内环内#近3号线赤峰路站#房屋户型1室1厅1厨1卫#建筑面积43.41㎡#房屋朝向南#装修情况精装#配备电梯无
173#41788元/平米#市光二村#杨浦 中原 中环至外环##房屋户型1室1厅1厨1卫#建筑面积41.4㎡#房屋朝向南#装修情况精装#配备电梯无
218#28998元/平米#华亭新家银杏苑#松江 松江老城 外环外##房屋户型2室2厅1厨1卫#建筑面积75.18㎡#房屋朝向南#装修情况精装#配备电梯无
315#89719元/平米#福安小区#长宁 中山公园 内环内#近2号线江苏路站#房屋户型1室0厅1厨1卫#建筑面积35.11㎡#房屋朝向南#装修情况精装#配备电梯无
435#74119元/平米#西木小区#徐汇 斜土路 内环内#近4号线大木桥路站#房屋户型2室0厅1厨1卫#建筑面积58.69㎡#房屋朝向南#装修情况精装#配备电梯无
296#87549元/平米#田林十四村#徐汇 田林 内环至中环#近9号线桂林路站#房屋户型1室1厅1厨1卫#建筑面积33.81㎡#房屋朝向南#装修情况精装#配备电梯无
306#51369元/平米#华松小区#长宁 北新泾 中环至外环#近2号线淞虹路站#房屋户型2室1厅1厨1卫#建筑面积59.57㎡#房屋朝向南#装修情况简装#配备电梯无
445#79267元/平米#镇宁路465弄#长宁 镇宁路 内环内#近2号线江苏路站#房屋户型2室1厅1厨1卫#建筑面积56.14㎡#房屋朝向南#装修情况精装#配备电梯无
426#56053元/平米#和源名城#静安 彭浦 中环至外环##房屋户型2室1厅1厨1卫#建筑面积76㎡#房屋朝向南#装修情况精装#配备电梯有
116#18487元/平米#丽泽荷亭苑#浦东 书院镇 外环外##房屋户型1室1厅1厨1卫#建筑面积62.75㎡#房屋朝向南#装修情况毛坯#配备电梯无
203#27067元/平米#崧泽华城佳福雅苑（五区）#青浦 赵巷 ##房屋户型2室1厅1厨1卫#建筑面积75㎡#房屋朝向南#装修情况精装#配备电梯有
910#114495元/平米#国际丽都城#静安 南京西路 内环内#近2号线南京西路站#房屋户型1室2厅1厨1卫#建筑面积79.48㎡#房屋朝向南#装修情况精装#配备电梯有
174#26052元/平米#万寿新村(青浦)#青浦 盈浦 外环外##房屋户型2室2厅1厨1卫#建筑面积66.79㎡#房屋朝向南#装修情况简装#配备电梯无
430#54638元/平米#伟业金锦苑二村#浦东 金桥 中环至外环#近12号线东陆路站#房屋户型2室1厅1厨1卫#建筑面积78.7㎡#房屋朝向南#装修情况简装#配备电梯无
205#58589元/平米#新泾三村#长宁 北新泾 中环至外环#近2号线北新泾站#房屋户型1室1厅1厨1卫#建筑面积34.99㎡#房屋朝向南#装修情况简装#配备电梯无
243#62181元/平米#中山新村#徐汇 斜土路 内环内#近7号线肇嘉浜路站#房屋户型1室1厅1厨1卫#建筑面积39.08㎡#房屋朝向南#装修情况简装#配备电梯无
605#79334元/平米#万科金色城市#浦东 御桥 中环至外环#近11号线(嘉定北-迪士尼)御桥站#房屋户型2室1厅1厨1卫#建筑面积76.26㎡#房屋朝向南#装修情况精装#配备电梯有
619#69325元/平米#万科金色雅筑#浦东 三林 中环至外环#近11号线(嘉定北-迪士尼)三林东站#房屋户型3室2厅1厨1卫#建筑面积89.29㎡#房屋朝向南#装修情况精装#配备电梯有
193#47514元/平米#青春驿站#松江 九亭 外环外#近9号线九亭站#房屋户型1室1厅1厨1卫#建筑面积40.62㎡#房屋朝向南#装修情况精装#配备电梯有
186#50751元/平米#欧阳小区#虹口 鲁迅公园 内环内#近8号线曲阳路站#房屋户型1室1厅1厨1卫#建筑面积36.65㎡#房屋朝向南#装修情况简装#配备电梯无
323#31921元/平米#金港花园(公寓)#松江 泗泾 外环外##房屋户型2室2厅1厨1卫#建筑面积101.19㎡#房屋朝向南#装修情况简装#配备电梯有
205#31127元/平米#南桥小区#浦东 川沙 外环外#近2号线川沙站#房屋户型2室1厅1厨1卫#建筑面积65.86㎡#房屋朝向南#装修情况简装#配备电梯无
290#57792元/平米#宜山路701弄#徐汇 田林 内环至中环#近9号线桂林路站#房屋户型2室1厅1厨1卫#建筑面积50.18㎡#房屋朝向南#装修情况毛坯#配备电梯无
180#28360元/平米#界泾港新村#青浦 夏阳 外环外#近17号线青浦新城站#房屋户型2室1厅1厨1卫#建筑面积63.47㎡#房屋朝向南#装修情况简装#配备电梯无
355#52199元/平米#杨南新村#浦东 三林 内环至中环#近6号线上南路站#房屋户型2室1厅1厨1卫#建筑面积68.01㎡#房屋朝向南 北#装修情况简装#配备电梯无
415#62908元/平米#静安新城五区#闵行 静安新城 中环至外环#近9号线合川路站#房屋户型2室2厅1厨1卫#建筑面积65.97㎡#房屋朝向南#装修情况精装#配备电梯无
280#34097元/平米#飞碟苑#闵行 老闵行 外环外##房屋户型2室2厅1厨1卫#建筑面积82.12㎡#房屋朝向南#装修情况精装#配备电梯无
230#72487元/平米#芝巷小区#普陀 长风 内环至中环#近13号线大渡河路站#房屋户型1室0厅1厨1卫#建筑面积31.73㎡#房屋朝向西#装修情况简装#配备电梯无
860#69451元/平米#三和花园#静安 曹家渡 内环内#近7号线昌平路站#房屋户型3室2厅1厨2卫#建筑面积123.83㎡#房屋朝向北#装修情况精装#配备电梯有
164#23429元/平米#鸿吉苑#奉贤 西渡 外环外#近5号线南延伸段西渡站#房屋户型2室1厅1厨1卫#建筑面积70㎡#房屋朝向南#装修情况简装#配备电梯无
365#53270元/平米#齐河花苑#浦东 世博 内环至中环##房屋户型2室1厅1厨1卫#建筑面积68.52㎡#房屋朝向南#装修情况精装#配备电梯无
465#44759元/平米#水清二村#闵行 莘庄 外环外#近1号线莘庄站#房屋户型3室1厅0厨1卫#建筑面积103.89㎡#房屋朝向南#装修情况简装#配备电梯无
170#20918元/平米#丽泽梅傲苑#浦东 书院镇 外环外##房屋户型2室2厅1厨1卫#建筑面积81.27㎡#房屋朝向南 北#装修情况精装#配备电梯有
175#51638元/平米#新宜小区#普陀 甘泉宜川 内环至中环##房屋户型1室1厅1厨1卫#建筑面积33.89㎡#房屋朝向南#装修情况精装#配备电梯无
455#51687元/平米#金鹏苑#浦东 金桥 中环至外环#近6号线金桥路站#房屋户型3室2厅1厨1卫#建筑面积88.03㎡#房屋朝向南#装修情况简装#配备电梯无
335#50998元/平米#济阳二村#浦东 世博 内环至中环#近7号线长清路站#房屋户型2室1厅1厨1卫#建筑面积65.69㎡#房屋朝向南#装修情况简装#配备电梯有
197#41240元/平米#龙南三四村#徐汇 龙华 内环至中环#近11号线(花桥-三林)龙耀路站#房屋户型1室1厅1厨1卫#建筑面积47.77㎡#房屋朝向南#装修情况简装#配备电梯无
458#48410元/平米#锦绣华都#浦东 御桥 中环至外环##房屋户型2室2厅1厨1卫#建筑面积94.61㎡#房屋朝向南#装修情况精装#配备电梯有
360#63269元/平米#杏花新苑#浦东 花木 内环内#近2号线世纪公园站#房屋户型2室1厅1厨1卫#建筑面积56.9㎡#房屋朝向南#装修情况精装#配备电梯无
270#44401元/平米#淞南十村#宝山 淞南 中环至外环##房屋户型2室1厅1厨1卫#建筑面积60.81㎡#房屋朝向南#装修情况简装#配备电梯无
278.9#35556元/平米#新凯一期#松江 泗泾 ##房屋户型2室2厅0厨1卫#建筑面积78.44㎡#房屋朝向南#装修情况精装#配备电梯无
335#44859元/平米#金杨新村九街坊#浦东 金杨 内环至中环#近6号线金桥路站#房屋户型3室1厅1厨1卫#建筑面积74.68㎡#房屋朝向南#装修情况简装#配备电梯无
1350#86974元/平米#天山河畔花园#长宁 天山 内环至中环#近2号线威宁路站#房屋户型3室2厅1厨2卫#建筑面积155.22㎡#房屋朝向南 北#装修情况精装#配备电梯有
185#61667元/平米#长风四村#普陀 长风 内环至中环#近13号线大渡河路站#房屋户型1室0厅1厨1卫#建筑面积30㎡#房屋朝向南#装修情况简装#配备电梯无
300#47118元/平米#高境一村#宝山 高境 中环至外环#近3号线殷高西路站#房屋户型2室1厅1厨1卫#建筑面积63.67㎡#房屋朝向南#装修情况精装#配备电梯无
205#20895元/平米#金碧汇虹苑#奉贤 奉贤金汇 外环外##房屋户型3室2厅1厨1卫#建筑面积98.11㎡#房屋朝向南 北#装修情况精装#配备电梯无
534#61906元/平米#金桥湾清水苑#浦东 金桥 中环至外环#近6号线博兴路站#房屋户型3室1厅1厨1卫#建筑面积86.26㎡#房屋朝向南 北#装修情况精装#配备电梯无
500#77448元/平米#三江小区#徐汇 龙华 内环至中环#近1号线漕宝路站#房屋户型2室1厅1厨1卫#建筑面积64.56㎡#房屋朝向南 东#装修情况精装#配备电梯无
670#61204元/平米#金泰公寓#闵行 七宝 外环外#近9号线星中路站#房屋户型3室2厅1厨2卫#建筑面积109.47㎡#房屋朝向南#装修情况精装#配备电梯无
82#24090元/平米#巨龙台湾城#奉贤 西渡 外环外#近5号线南延伸段西渡站#房屋户型1室1厅1厨1卫#建筑面积34.04㎡#房屋朝向东#装修情况简装#配备电梯无
457#43968元/平米#湖畔天下#嘉定 南翔 外环外##房屋户型3室2厅1厨2卫#建筑面积103.94㎡#房屋朝向南#装修情况精装#配备电梯有
265#37435元/平米#中虹家园#浦东 曹路 外环外##房屋户型2室1厅1厨1卫#建筑面积70.79㎡#房屋朝向南#装修情况毛坯#配备电梯有
435#40727元/平米#君莲宏润丽苑#闵行 颛桥 外环外##房屋户型3室2厅1厨2卫#建筑面积106.81㎡#房屋朝向南 北#装修情况精装#配备电梯有
680#59368元/平米#大上海国际花园七区#闵行 静安新城 中环至外环#近9号线合川路站#房屋户型3室2厅1厨2卫#建筑面积114.54㎡#房屋朝向南#装修情况精装#配备电梯无
1188#94137元/平米#仁恒河滨城(一期)#浦东 联洋 内环内##房屋户型3室2厅1厨2卫#建筑面积126.2㎡#房屋朝向南 北#装修情况精装#配备电梯有
1600#69502元/平米#世茂湖滨花园(公寓)#浦东 碧云 内环至中环##房屋户型4室2厅1厨4卫#建筑面积230.21㎡#房屋朝向南#装修情况精装#配备电梯有
