155#45750元/平米#宝钢三村#宝山 淞宝 外环外#近3号线友谊路站#房屋户型1室1厅1厨1卫#建筑面积33.88㎡#房屋朝向南#装修情况毛坯#配备电梯无
200#46233元/平米#银都新村(1至7区)#闵行 颛桥 外环外##房屋户型1室1厅1厨1卫#建筑面积43.26㎡#房屋朝向南#装修情况精装#配备电梯无
555#81980元/平米#黄山始信苑#浦东 金杨 内环至中环#近6号线云山路站#房屋户型2室1厅1厨1卫#建筑面积67.7㎡#房屋朝向南#装修情况简装#配备电梯无
550#55299元/平米#广海花园#闵行 七宝 外环外##房屋户型2室2厅1厨1卫#建筑面积99.46㎡#房屋朝向南#装修情况精装#配备电梯无
575#67799元/平米#都市星城#闵行 莘庄 外环外#近5号线春申路站#房屋户型2室2厅1厨1卫#建筑面积84.81㎡#房屋朝向南#装修情况精装#配备电梯有
790#68351元/平米#万科城花新园#闵行 七宝 外环外#近9号线中春路站#房屋户型3室2厅1厨1卫#建筑面积115.58㎡#房屋朝向南#装修情况精装#配备电梯有
380#57892元/平米#龙南六村#徐汇 龙华 内环至中环##房屋户型2室1厅1厨1卫#建筑面积65.64㎡#房屋朝向南#装修情况简装#配备电梯无
715#69458元/平米#城市经典二期(公寓)#浦东 张江 内环至中环#近2号线广兰路站#房屋户型2室2厅1厨1卫#建筑面积102.94㎡#房屋朝向南#装修情况精装#配备电梯有
248#45091元/平米#香山新村东北街坊#浦东 金杨 内环至中环#近6号线德平路站#房屋户型1室1厅1厨1卫#建筑面积55㎡#房屋朝向南#装修情况精装#配备电梯无
920#76846元/平米#证大家园(五期)#浦东 金桥 #近6号线巨峰路站#房屋户型3室2厅1厨1卫#建筑面积119.72㎡#房屋朝向南#装修情况精装#配备电梯有
350#48993元/平米#建中路171弄#浦东 张江 内环至中环##房屋户型2室1厅1厨1卫#建筑面积71.44㎡#房屋朝向南#装修情况简装#配备电梯无
340#44897元/平米#华高二村#浦东 高行 中环至外环#近12号线金京路站#房屋户型3室1厅1厨1卫#建筑面积75.73㎡#房屋朝向南#装修情况精装#配备电梯无
389#56632元/平米#金桥湾清水苑#浦东 金桥 中环至外环#近9号线台儿庄路站#房屋户型2室1厅1厨1卫#建筑面积68.69㎡#房屋朝向南#装修情况精装#配备电梯无
255#47691元/平米#六荷苑小区#浦东 金桥 中环至外环#近6号线五莲路站#房屋户型2室1厅1厨1卫#建筑面积53.47㎡#房屋朝向南#装修情况简装#配备电梯无
415#42158元/平米#远洋香奈#宝山 杨行 外环外#近1号线富锦路站#房屋户型3室2厅1厨1卫#建筑面积98.44㎡#房屋朝向南#装修情况精装#配备电梯有
295#32283元/平米#旭辉百合宫馆#青浦 盈浦 外环外##房屋户型2室2厅0厨1卫#建筑面积91.38㎡#房屋朝向南#装修情况简装#配备电梯暂无数据
320#38713元/平米#新城金郡#嘉定 嘉定新城 外环外#近11号线(嘉定北-迪士尼)白银路站#房屋户型2室2厅1厨1卫#建筑面积82.66㎡#房屋朝向南#装修情况精装#配备电梯有
388#56281元/平米#香山新村西南街坊#浦东 金杨 内环至中环#近6号线德平路站#房屋户型2室1厅1厨1卫#建筑面积68.94㎡#房屋朝向南#装修情况精装#配备电梯无
280#67962元/平米#西凌新邨#黄浦 蓬莱公园 内环内#近4号线西藏南路站#房屋户型1室1厅1厨1卫#建筑面积41.2㎡#房屋朝向南#装修情况简装#配备电梯无
289#46901元/平米#金杨二街坊#浦东 金杨 内环至中环#近6号线云山路站#房屋户型2室1厅1厨1卫#建筑面积61.62㎡#房屋朝向南#装修情况简装#配备电梯无
450#86389元/平米#田林十二村#徐汇 田林 内环至中环#近1号线漕宝路站#房屋户型3室1厅1厨1卫#建筑面积52.09㎡#房屋朝向南#装修情况简装#配备电梯无
408#84912元/平米#和源馨苑#静安 西藏北路 内环内#近8号线中兴路站#房屋户型1室1厅1厨1卫#建筑面积48.05㎡#房屋朝向南#装修情况精装#配备电梯有
320#37384元/平米#鹤北新村#闵行 老闵行 外环外#近5号线东川路站#房屋户型3室2厅1厨1卫#建筑面积85.6㎡#房屋朝向南 北#装修情况简装#配备电梯无
255#35550元/平米#富友嘉园#嘉定 江桥 外环外##房屋户型2室2厅1厨1卫#建筑面积71.73㎡#房屋朝向南#装修情况毛坯#配备电梯无
306#60763元/平米#金鹏苑#浦东 金桥 中环至外环#近6号线金桥路站#房屋户型1室1厅1厨1卫#建筑面积50.36㎡#房屋朝向南#装修情况精装#配备电梯无
880#80030元/平米#泾南教师公寓#浦东 洋泾 内环内#近9号线杨高中路站#房屋户型3室1厅1厨1卫#建筑面积109.96㎡#房屋朝向南#装修情况简装#配备电梯无
478#96216元/平米#潍坊九村#浦东 潍坊 内环内#近4号线浦电路站#房屋户型2室1厅1厨1卫#建筑面积49.68㎡#房屋朝向南 北#装修情况精装#配备电梯无
350#38189元/平米#保利星海屿筑#嘉定 嘉定新城 外环外##房屋户型2室2厅1厨1卫#建筑面积91.65㎡#房屋朝向南#装修情况精装#配备电梯有
380#40769元/平米#保利星海屿筑#嘉定 嘉定新城 外环外##房屋户型3室2厅0厨1卫#建筑面积93.21㎡#房屋朝向南#装修情况精装#配备电梯有
368#49133元/平米#德州五村#浦东 世博 内环至中环#近8号线成山路站#房屋户型2室2厅1厨1卫#建筑面积74.9㎡#房屋朝向南#装修情况简装#配备电梯无
315#37748元/平米#新城金郡#嘉定 嘉定新城 外环外#近11号线(嘉定北-迪士尼)白银路站#房屋户型2室2厅1厨1卫#建筑面积83.45㎡#房屋朝向南#装修情况精装#配备电梯有
630#70763元/平米#证大家园(一期)#浦东 金桥 中环至外环#近12号线杨高北路站#房屋户型2室1厅1厨1卫#建筑面积89.03㎡#房屋朝向南#装修情况精装#配备电梯无
385#46695元/平米#海上新村#闵行 古美 中环至外环#近9号线星中路站#房屋户型2室2厅1厨1卫#建筑面积82.45㎡#房屋朝向南#装修情况精装#配备电梯无
310#89596元/平米#斜土新村#黄浦 打浦桥 内环内#近4号线鲁班路站#房屋户型1室1厅1厨1卫#建筑面积34.6㎡#房屋朝向南#装修情况简装#配备电梯无
240#30715元/平米#欣佳宝邸(北区)#闵行 浦江 外环外#近浦江线浦航路站#房屋户型2室2厅1厨1卫#建筑面积78.14㎡#房屋朝向南 北#装修情况简装#配备电梯有
608#60097元/平米#金鹏花园#杨浦 周家嘴路 内环内#近12号线江浦公园站#房屋户型3室1厅1厨1卫#建筑面积101.17㎡#房屋朝向南#装修情况简装#配备电梯有
145#29454元/平米#城东新村（二区）#青浦 夏阳 外环外##房屋户型2室1厅1厨1卫#建筑面积49.23㎡#房屋朝向南#装修情况简装#配备电梯无
292#47838元/平米#春馨苑#闵行 春申 外环外##房屋户型2室1厅1厨1卫#建筑面积61.04㎡#房屋朝向南#装修情况精装#配备电梯无
254#28540元/平米#白洋苑#松江 松江老城 外环外##房屋户型2室2厅1厨1卫#建筑面积89㎡#房屋朝向暂无数据#装修情况精装#配备电梯无
325#46383元/平米#盛源花园#闵行 梅陇 中环至外环##房屋户型2室1厅1厨1卫#建筑面积70.07㎡#房屋朝向南#装修情况精装#配备电梯无
255#42621元/平米#保利西子湾#松江 松江大学城 外环外#近9号线松江大学城站#房屋户型1室1厅1厨1卫#建筑面积59.83㎡#房屋朝向南#装修情况简装#配备电梯有
298#27642元/平米#城丰路15弄#浦东 川沙 外环外##房屋户型3室2厅1厨1卫#建筑面积107.81㎡#房屋朝向南#装修情况简装#配备电梯无
266#47946元/平米#文宝苑#宝山 顾村 外环外#近7号线顾村公园站#房屋户型1室1厅1厨1卫#建筑面积55.48㎡#房屋朝向南#装修情况毛坯#配备电梯有
328#48521元/平米#荷三小区#浦东 金桥 中环至外环##房屋户型2室1厅1厨1卫#建筑面积67.6㎡#房屋朝向南#装修情况精装#配备电梯无
180#24753元/平米#听潮四村#浦东 惠南 外环外##房屋户型2室1厅1厨1卫#建筑面积72.72㎡#房屋朝向南 北#装修情况精装#配备电梯无
426#60589元/平米#田林新苑#徐汇 田林 内环至中环#近9号线桂林路站#房屋户型2室1厅1厨1卫#建筑面积70.31㎡#房屋朝向东 东南#装修情况精装#配备电梯有
346#50689元/平米#常兴家园#闵行 春申 外环外##房屋户型2室1厅1厨1卫#建筑面积68.26㎡#房屋朝向南#装修情况精装#配备电梯无
160#28007元/平米#万寿新村(青浦)#青浦 盈浦 外环外##房屋户型2室1厅1厨1卫#建筑面积57.13㎡#房屋朝向南#装修情况精装#配备电梯无
255#41606元/平米#通河二村#宝山 通河 中环至外环#近1号线通河新村站#房屋户型2室1厅1厨1卫#建筑面积61.29㎡#房屋朝向南#装修情况简装#配备电梯无
658#79991元/平米#绿色丽园#静安 大宁 内环至中环#近1号线上海马戏城站#房屋户型2室2厅1厨1卫#建筑面积82.26㎡#房屋朝向南#装修情况简装#配备电梯有
515#60811元/平米#仙霞大郡#长宁 北新泾 中环至外环#近2号线北新泾站#房屋户型2室2厅1厨1卫#建筑面积84.69㎡#房屋朝向南#装修情况精装#配备电梯无
930#68292元/平米#新地苑#黄浦 豫园 内环内#近10号线(新江湾城-虹桥火车站)豫园站#房屋户型3室2厅1厨2卫#建筑面积136.18㎡#房屋朝向南#装修情况精装#配备电梯有
385#74816元/平米#谨斜小区#徐汇 徐家汇 内环内#近4号线东安路站#房屋户型2室1厅1厨1卫#建筑面积51.46㎡#房屋朝向南#装修情况精装#配备电梯无
810#61560元/平米#中环家园#普陀 万里 内环至中环##房屋户型3室2厅1厨1卫#建筑面积131.58㎡#房屋朝向南 北#装修情况简装#配备电梯有
310#40073元/平米#中房公寓#嘉定 江桥 外环外##房屋户型2室1厅1厨1卫#建筑面积77.36㎡#房屋朝向南 北#装修情况精装#配备电梯有
230#56623元/平米#凤城五村#杨浦 控江路 内环内#近8号线江浦路站#房屋户型1室1厅1厨1卫#建筑面积40.62㎡#房屋朝向南#装修情况精装#配备电梯无
535#46930元/平米#新高苑(三期)#浦东 高行 ##房屋户型3室2厅1厨1卫#建筑面积114㎡#房屋朝向南#装修情况精装#配备电梯有
380#61940元/平米#金泰公寓#闵行 七宝 外环外#近9号线星中路站#房屋户型2室1厅1厨1卫#建筑面积61.35㎡#房屋朝向南#装修情况简装#配备电梯无
248#53105元/平米#美岸栖庭(公寓)#宝山 高境 中环至外环#近3号线长江南路站#房屋户型1室1厅1厨1卫#建筑面积46.7㎡#房屋朝向南#装修情况精装#配备电梯有
330#48860元/平米#紫叶花园#浦东 北蔡 内环至中环#近13号线北蔡站#房屋户型2室2厅1厨1卫#建筑面积67.54㎡#房屋朝向南#装修情况简装#配备电梯无
235#50943元/平米#财大小区#杨浦 五角场 中环至外环##房屋户型2室0厅1厨1卫#建筑面积46.13㎡#房屋朝向南#装修情况简装#配备电梯无
490#55828元/平米#广杭苑#杨浦 东外滩 内环内##房屋户型2室2厅1厨1卫#建筑面积87.77㎡#房屋朝向南#装修情况简装#配备电梯无
230#43471元/平米#呼玛一村#宝山 张庙 中环至外环##房屋户型2室1厅1厨1卫#建筑面积52.91㎡#房屋朝向南#装修情况毛坯#配备电梯无
360#57693元/平米#馨宁公寓#徐汇 华泾 中环至外环##房屋户型2室1厅0厨1卫#建筑面积62.4㎡#房屋朝向南#装修情况简装#配备电梯有
720#79156元/平米#东方花园三期#闵行 七宝 外环外##房屋户型2室1厅1厨1卫#建筑面积90.96㎡#房屋朝向南#装修情况精装#配备电梯有
1600#103796元/平米#金外滩花园#黄浦 黄浦滨江 内环内#近9号线小南门站#房屋户型3室2厅1厨2卫#建筑面积154.15㎡#房屋朝向南#装修情况精装#配备电梯有
285#45887元/平米#东陆新村二街坊#浦东 金桥 中环至外环##房屋户型2室1厅1厨1卫#建筑面积62.11㎡#房屋朝向南#装修情况精装#配备电梯无
420#76601元/平米#双桥小区#浦东 金桥 中环至外环#近6号线巨峰路站#房屋户型1室1厅1厨1卫#建筑面积54.83㎡#房屋朝向南#装修情况精装#配备电梯无
170#38796元/平米#桃浦六村樱花苑#普陀 桃浦 外环外#近11号线(花桥-三林)桃浦新村站#房屋户型1室1厅0厨1卫#建筑面积43.82㎡#房屋朝向南#装修情况简装#配备电梯无
350#49745元/平米#莱阳新家园#浦东 金桥 中环至外环#近12号线东陆路站#房屋户型2室1厅1厨1卫#建筑面积70.36㎡#房屋朝向南 北#装修情况简装#配备电梯无
418#88019元/平米#三江小区#徐汇 龙华 内环至中环#近1号线漕宝路站#房屋户型1室1厅1厨1卫#建筑面积47.49㎡#房屋朝向南#装修情况简装#配备电梯无
300#40552元/平米#馨佳园(菊盛路851弄)#宝山 顾村 外环外#近7号线刘行站#房屋户型2室2厅1厨1卫#建筑面积73.98㎡#房屋朝向南#装修情况简装#配备电梯有
238#55183元/平米#金杨新村三街坊#浦东 金杨 内环至中环#近6号线云山路站#房屋户型1室1厅1厨1卫#建筑面积43.13㎡#房屋朝向南#装修情况精装#配备电梯无
275#60467元/平米#控江四村#杨浦 黄兴公园 内环至中环#近8号线黄兴路站#房屋户型2室1厅1厨1卫#建筑面积45.48㎡#房屋朝向南#装修情况精装#配备电梯无
171#60212元/平米#兰花新村#杨浦 黄兴公园 内环至中环#近8号线翔殷路站#房屋户型1室0厅0厨1卫#建筑面积28.4㎡#房屋朝向南#装修情况毛坯#配备电梯无
735#58218元/平米#东苑怡景园#闵行 古美 中环至外环#近12号线东兰路站#房屋户型3室1厅1厨2卫#建筑面积126.25㎡#房屋朝向南#装修情况简装#配备电梯有
350#40249元/平米#贵峰苑#闵行 颛桥 外环外##房屋户型3室2厅1厨1卫#建筑面积86.96㎡#房屋朝向南#装修情况精装#配备电梯无
248#47392元/平米#绿园一村#长宁 北新泾 中环至外环#近2号线淞虹路站#房屋户型1室1厅1厨1卫#建筑面积52.33㎡#房屋朝向南#装修情况简装#配备电梯无
470#68107元/平米#学院新村#闵行 七宝 外环外##房屋户型2室1厅1厨1卫#建筑面积69.01㎡#房屋朝向南#装修情况精装#配备电梯无
570#64810元/平米#绿地春申花园#闵行 春申 外环外##房屋户型2室2厅1厨1卫#建筑面积87.95㎡#房屋朝向南#装修情况精装#配备电梯无
