apartment,area,date,decoration,lift,location1,location2,location3,month,orientation,price,underground,unit,village
2室1厅1厨1卫,70.24,2020-04-12,简装,无,闵行,古美,中环至外环,202004,南,358,近12号线虹莘路站,50969,平吉二村
1室1厅1厨1卫,39.78,2020-04-12,精装,无,闵行,古美,中环至外环,202004,南,230,近12号线东兰路站,57818,古美小区
2室1厅1厨1卫,71.1,2019-12-04,精装,无,长宁,仙霞,内环至中环,201912,南,435,,61182,仙霞别墅
2室1厅1厨1卫,49.44,2019-08-18,精装,无,虹口,曲阳,内环内,201908,南 北,325,近8号线曲阳路站,65737,西南小区
2室1厅0厨1卫,48.1,2020-04-06,简装,无,徐汇,田林,内环至中环,202004,南,399.9,近1号线漕宝路站,83140,田林十二村
1室1厅1厨1卫,58.59,2020-04-12,简装,有,徐汇,田林,内环至中环,202004,南,353,近3号线宜山路站,60250,钦州花苑
1室1厅1厨1卫,45.99,2020-04-11,精装,无,宝山,大华,内环至中环,202004,南,240,近7号线行知路站,52186,好旺花苑
2室1厅1厨1卫,70.66,2020-04-09,毛坯,无,浦东,杨思前滩,内环至中环,202004,南 北,420,,59440,东方悦居
2室2厅1厨1卫,87.52,2020-03-28,精装,无,浦东,北蔡,内环至中环,202003,南 北,650,近13号线下南路站,74269,大华锦绣华城(十二街区)
2室1厅1厨1卫,70.69,2020-03-30,精装,无,普陀,真光,中环至外环,202003,南 北,295,,41732,昆仑花苑
1室1厅1厨1卫,47.64,2020-01-23,精装,无,徐汇,田林,内环至中环,202001,南,312,近3号线宜山路站,65492,长春小区
3室2厅1厨1卫,83.09,2020-04-04,精装,无,闵行,浦江,,202004,南,550,,66194,保利茉莉公馆一期
2室1厅1厨1卫,71.15,2020-04-12,毛坯,无,浦东,川沙,外环外,202004,南,248,,34856,曙光路25弄
2室1厅1厨1卫,70.31,2020-04-12,精装,有,徐汇,田林,内环至中环,202004,东南,445,近9号线桂林路站,63292,田林新苑
2室2厅1厨1卫,91.59,2020-04-11,简装,无,普陀,曹杨,内环至中环,202004,南,575,近3号线金沙江路站,62780,常高公寓
3室2厅1厨2卫,130.71,2020-03-30,精装,有,普陀,中远两湾城,内环内,202003,南,862,,65948,中远两湾城
3室2厅1厨2卫,133.88,2020-03-18,精装,有,徐汇,华泾,外环外,202003,南,688,,51390,盛华景苑
2室1厅0厨1卫,57.68,2020-03-26,精装,无,徐汇,华泾,外环外,202003,南,275,,47677,东湾小区
2室1厅1厨1卫,61.41,2020-03-28,精装,无,徐汇,华东理工,内环至中环,202003,南 北,318,,51784,梅陇三村
2室1厅1厨1卫,72.66,2020-04-11,简装,无,浦东,北蔡,内环至中环,202004,南,345,近13号线陈春路站,47482,鹏海小区
2室2厅1厨1卫,83.6,2020-02-25,精装,有,宝山,顾村,外环外,202002,南 北,299,近7号线潘广路站,35766,馨佳园(韶山路419弄)
2室0厅1厨1卫,51.99,2020-03-27,简装,无,杨浦,鞍山,,202003,南,368,近8号线鞍山新村站,70783,锦西路30弄
2室1厅0厨1卫,66.87,2019-12-15,精装,无,浦东,金杨,内环至中环,201912,南 北,596,近6号线云山路站,89129,黄山始信苑
2室1厅1厨1卫,74.21,2020-04-11,精装,有,浦东,高行,中环至外环,202004,南,320,,43121,高行绿洲(六期)
2室1厅1厨1卫,60.27,2020-04-02,简装,无,嘉定,江桥,外环外,202004,南,188,,31193,恒嘉花园
2室0厅1厨1卫,44.84,2020-04-09,简装,无,浦东,潍坊,内环内,202004,南,310,近4号线浦电路站,69135,潍坊二村
1室1厅1厨1卫,39.56,2019-04-15,简装,无,长宁,北新泾,中环至外环,201904,南,215,近2号线北新泾站,54348,新泾四村
1室1厅1厨1卫,36.95,2019-10-25,简装,无,黄浦,五里桥,内环内,201910,南,305,近13号线世博会博物馆站,82544,五里桥路269弄
1室1厅0厨1卫,40.33,2019-11-30,精装,无,长宁,虹桥,内环至中环,201911,南,232,近10号线(新江湾城-虹桥火车站)水城路站,57526,锦苑小区(长宁)
2室1厅1厨1卫,71.15,2020-04-12,简装,有,浦东,梅园,内环内,202004,西南 南,589,近4号线浦东大道站,82783,福山小区
2室2厅0厨1卫,74.5,2020-04-06,精装,无,浦东,康桥,外环外,202004,南 北,289,,38792,康桥宝邸
3室2厅1厨1卫,88.93,2020-03-15,精装,有,松江,九亭,外环外,202003,南 北,355,,39920,象屿都城
2室0厅1厨1卫,40.76,2020-04-09,简装,无,虹口,凉城,内环至中环,202004,东 北,170,近3号线大柏树站,41708,水电小区
3室1厅1厨1卫,79.09,2020-02-25,精装,无,奉贤,西渡,外环外,202002,南 北,159,,20104,闸园新村
2室1厅1厨1卫,72.1,2020-04-08,简装,无,松江,松江老城,外环外,202004,南,229,近9号线松江体育中心站,31762,九峰小区
3室1厅1厨1卫,77.09,2020-03-23,精装,无,长宁,仙霞,内环至中环,202003,南,445,近10号线(新江湾城-虹桥火车站)水城路站,57725,虹仙小区
3室2厅1厨1卫,96.8,2019-11-21,精装,有,浦东,惠南,,201911,南 北,268,,27686,布鲁斯小镇(二期)
2室2厅1厨1卫,87.72,2020-04-06,精装,无,闵行,梅陇,中环至外环,202004,南 北,465,,53010,罗锦新苑
3室2厅1厨1卫,89.47,2020-03-15,精装,有,松江,九亭,外环外,202003,南 北,335,,37443,朗庭上郡苑(公寓)
1室1厅1厨1卫,43.47,2019-12-26,简装,无,宝山,上大,中环至外环,201912,南,188,,43249,乾溪三村
2室1厅1厨1卫,72.19,2020-04-04,精装,无,闵行,莘庄,外环外,202004,南,310,,42943,莘城苑
1室1厅1厨1卫,34.2,2020-03-03,简装,无,普陀,曹杨,内环至中环,202003,南,173,近3号线金沙江路站,50585,曹杨九村
2室2厅1厨1卫,90.06,2020-03-27,精装,有,闵行,七宝,外环外,202003,南,560,,62181,摩登堂
2室2厅1厨1卫,89.41,2020-03-19,精装,有,松江,九亭,外环外,202003,南 北,378,,42278,中大九里德(公寓)
1室0厅0厨1卫,26.34,2019-06-23,精装,无,长宁,中山公园,内环内,201906,南,243,近3号线延安西路站,92256,中意小区
2室2厅1厨1卫,98.09,2020-04-05,简装,有,嘉定,嘉定新城,外环外,202004,南 北,372,近11号线(花桥-迪士尼)嘉定新城站,37925,中信泰富又一城
3室2厅0厨1卫,89.35,2020-04-04,精装,有,松江,泗泾,外环外,202004,南,312,,34919,同润菲诗艾伦
2室2厅1厨1卫,93.58,2020-04-12,简装,有,浦东,高行,中环至外环,202004,南,515,近6号线东靖路站,55034,连城新苑
3室2厅1厨2卫,122.52,2019-10-08,简装,有,闵行,老闵行,外环外,201910,南,495,近5号线支线金平路站,40402,丽都城假日景苑
2室2厅1厨1卫,105.31,2020-04-05,毛坯,有,浦东,金桥,中环至外环,202004,南,550,近9号线金桥站,52227,金桥新城
3室2厅1厨1卫,112.42,2020-04-05,简装,有,闵行,莘庄,外环外,202004,南,520,,46256,三春汇秀苑
2室2厅1厨1卫,83.15,2020-04-08,简装,无,浦东,外高桥,中环至外环,202004,南,318,,38245,潼港六村
2室1厅1厨1卫,47.16,2020-03-25,精装,无,杨浦,黄兴公园,内环至中环,202003,南,249,近8号线延吉中路站,52799,延吉东路82弄
2室0厅1厨1卫,44.73,2020-03-23,简装,无,长宁,西郊,中环至外环,202003,南,230,近10号线(新江湾城-虹桥火车站)上海动物园站,51420,程桥一村
2室1厅0厨1卫,68.44,2020-03-28,简装,有,松江,泗泾,外环外,202003,南,218,,31853,新凯城锦昌苑
1室1厅1厨1卫,35.79,2020-04-07,简装,无,静安,彭浦,中环至外环,202004,南 北,170,,47500,共康三村
3室2厅1厨2卫,130.83,2020-03-25,精装,有,闵行,七宝,外环外,202003,南 北,790,,60384,碧林湾(公寓)
2室2厅1厨1卫,100.16,2020-03-23,精装,有,闵行,老闵行,,202003,南,390,,38938,合生城邦四街坊
2室2厅1厨1卫,83.78,2019-10-10,精装,有,浦东,陆家嘴,内环内,201910,东 北,1020,近9号线商城路站,121748,仁恒滨江园
2室2厅1厨1卫,97.04,2020-03-25,精装,有,浦东,外高桥,中环至外环,202003,南,485,近6号线航津路站,49980,瑞禾明苑
2室1厅1厨1卫,72,2020-03-17,精装,无,闵行,七宝,外环外,202003,南,485,,67362,宝仪花苑
2室1厅1厨1卫,74.63,2020-04-03,精装,有,浦东,康桥,外环外,202004,南,285,,38189,海尚乐苑
1室1厅1厨1卫,36,2019-12-02,简装,无,徐汇,徐家汇,内环内,201912,南,248,近4号线东安路站,68889,振兴小区(徐汇)
2室2厅1厨2卫,128.65,2020-04-04,精装,有,浦东,联洋,内环内,202004,南,1100,近9号线芳甸路站,85504,联洋花园(二期)
1室1厅1厨1卫,43.61,2020-03-24,简装,无,浦东,洋泾,内环内,202003,南,250,近6号线北洋泾路站,57327,博山小区
2室1厅1厨1卫,54.75,2020-03-18,精装,无,长宁,中山公园,内环内,202003,南,390,近2号线江苏路站,71233,民心小区
2室1厅1厨1卫,43.39,2020-04-07,毛坯,无,静安,彭浦,中环至外环,202004,南,246,近1号线共康路站,56696,康平小区
2室1厅1厨1卫,55,2020-04-08,精装,无,浦东,杨思前滩,内环至中环,202004,南,280,,50910,南杨小区(长清路)
2室1厅1厨1卫,50.54,2020-04-13,简装,无,普陀,真如,内环至中环,202004,南,258,,51049,信仪新村
2室1厅1厨1卫,67.88,2019-06-23,简装,无,浦东,金桥,中环至外环,201906,南,310,近12号线杨高北路站,45669,东陆新村六街坊
2室1厅1厨1卫,67.45,2020-03-25,简装,无,闵行,莘庄,,202003,南,283,近12号线七莘路站,41958,黎安一村
3室1厅1厨1卫,86.88,2020-04-09,精装,无,奉贤,南桥,外环外,202004,南,152,,17496,江海二村(奉贤)
2室1厅1厨1卫,55.1,2020-03-18,精装,无,黄浦,蓬莱公园,内环内,202003,南,426,近4号线西藏南路站,77314,保屯路50弄
2室2厅0厨1卫,79.42,2020-04-08,毛坯,有,宝山,顾村,外环外,202004,南 北,275,近7号线刘行站,34627,菊泉新城(陆翔路698弄)
3室2厅1厨1卫,89,2020-01-11,毛坯,暂无数据,嘉定,安亭,外环外,202001,南,293,,32922,上海派
2室1厅1厨1卫,57.23,2020-04-07,简装,无,徐汇,徐家汇,内环内,202004,南,438,近4号线上海体育场站,76534,宛平南路268弄
2室1厅1厨1卫,62.26,2020-04-11,简装,无,徐汇,华泾,中环至外环,202004,南,300,,48186,华发小区
2室2厅1厨1卫,82.7,2020-03-29,精装,有,浦东,北蔡,内环至中环,202003,南,660,近13号线下南路站,79807,大华锦绣华城(十八街区)(公寓)
2室1厅1厨1卫,71.37,2020-04-02,精装,无,宝山,大华,内环至中环,202004,南,368,近7号线大华三路站,51563,大华一村
2室1厅1厨1卫,58.2,2020-04-09,简装,无,嘉定,南翔,外环外,202004,南,210,,36083,德华一村
2室1厅1厨1卫,67.42,2020-04-10,精装,无,浦东,金杨,内环至中环,202004,南,335,近6号线德平路站,49689,罗山三村
1室1厅0厨1卫,46.56,2020-04-05,毛坯,无,浦东,川沙,外环外,202004,南,180,近2号线川沙站,38660,河滨小区
1室1厅1厨1卫,34.59,2020-04-08,毛坯,无,静安,闸北公园,内环至中环,202004,南,205,近8号线西藏北路站,59266,三阳小区
2室1厅1厨1卫,75.91,2020-04-01,精装,有,宝山,顾村,外环外,202004,南 北,360,近7号线顾村公园站,47425,文宝苑
2室1厅0厨1卫,75.42,2020-03-26,简装,有,虹口,临平路,内环内,202003,南,480,近4号线临平路站,63644,远虹大厦
3室2厅1厨2卫,121.88,2019-12-02,精装,有,黄浦,董家渡,内环内,201912,南 北,975,近9号线小南门站,79997,明日星城（一期）
2室2厅1厨1卫,84.28,2020-01-31,精装,有,宝山,顾村,,202001,南,425,近7号线刘行站,50428,保利叶语(二期)(公寓)
2室1厅1厨1卫,63.32,2020-04-09,精装,无,浦东,金杨,内环至中环,202004,南,410,近9号线蓝天路站,64751,金杨六街坊
3室2厅1厨2卫,116.33,2020-02-20,精装,有,闵行,七宝,外环外,202002,西北,515,近9号线七宝站,44271,万科城市花园
2室1厅1厨1卫,67.19,2020-03-10,简装,无,闵行,梅陇,中环至外环,202003,南,345,,51347,盛源花园
3室1厅1厨2卫,89.52,2020-03-10,精装,有,浦东,高行,中环至外环,202003,南,680,近6号线洲海路站,75961,金地未未来
2室1厅1厨1卫,76.86,2019-10-03,精装,有,浦东,杨思前滩,内环至中环,201910,南,390,,50742,三林世博家园(板泉路2101弄)
2室1厅1厨1卫,84.66,2020-02-20,精装,有,闵行,颛桥,外环外,202002,南,340,,40161,君莲小区
2室1厅0厨1卫,63.25,2019-07-21,精装,无,浦东,金桥,中环至外环,201907,南,342,近6号线博兴路站,54072,蓝城小区
2室2厅1厨1卫,87,2020-02-04,精装,暂无数据,浦东,万祥镇,外环外,202002,南 北,189,,21725,凯德新视界(一期)
2室1厅1厨1卫,47.79,2020-01-18,精装,无,徐汇,建国西路,内环内,202001,南,600,近9号线嘉善路站,125550,建国西路233弄
